stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,120S,Tunis Ville,,36.79476927,10.18038057,,,0,
2,125Z,DEPOT FARHAT HACHED,,36.78403921,10.19189873,,,0,
3,130E,Jebel Jelloud,,36.77272513,10.2082258,,,0,
4,141S,MEGRINE RYADH,,36.77027429,10.22290038,,,0,
5,142T,MEGRINE,,36.76832703,10.23391826,,,0,
6,143W,SIDI REZIG,,36.76733357,10.24454539,,,0,
7,146Y,Rades,,36.76836038,10.26973502,,,0,
8,146Z,RADES MELIANE,,36.76297691,10.28427308,,,0,
9,151E,EZ-ZAHRA,,36.74680017,10.30704949,,,0,
10,152F,LYCEE EZZAHRA,,36.7390405,10.31796465,,,0,
11,153G,BOU KORNINE,,36.73479491,10.32393414,,,0,
12,154H,Hammam Lif,,36.72943925,10.3342066,,,0,
13,155J,ARRET DU STADE,,36.72344359,10.34820811,,,0,
14,158M,TAHAR SFAR,,36.71752391,10.35967425,,,0,
15,156K,HAMMAM CHAT,,36.71360031,10.36940508,,,0,
16,159N,BIR EL BEY,,36.71024971,10.3786432,,,0,
17,157L,Borj Cedria,,36.70348221,10.39742907,,,0,
18,160P,Erriadh,,36.69827887,10.42151708,,,0,
19,144X,LYCEE TECHNIQUE RADES,,36.76678685,10.26084366,,,0,
20,224R,Nabeul Voyageurs,,36.45103216,10.73510445,,,0,
21,225S,Nabeul Marchandises,,36.43213878,10.69395762,,,0,
22,226T,M'Razga,,36.42811113,10.68101957,,,0,
23,223P,Omar Khayem,,36.42396851,10.66892545,,,0,
24,222N,Hammamet,,36.40764041,10.61245796,,,0,
25,221M,Bir Bou Regba,,36.4306822,10.57374512,,,0,
26,166Y,Bou Arkoub,,36.53107528,10.55141793,,,0,
27,165X,BELLI,,36.56060928,10.52496504,,,0,
28,164W,TURKI,,36.57550041,10.51353227,,,0,
29,163T,Grombalia,,36.59634435,10.49772187,,,0,
30,162S,Khanguet,,36.62485286,10.46139977,,,0,
31,161R,Foundouk Jedid,,36.66891685,10.44671329,,,0,
32,233C,Sousse Sud,,35.80017296,10.64992398,,,0,
33,231A,SOUSSE BAB JEDID,,35.823063,10.64159279,,,0,
34,232B,SOUSSE MOHAMED V,,35.81599388,10.64324748,,,0,
35,234D,Sousse Zone industrielle,,35.7821012,10.66837618,,,0,
36,235E,Sahline,,35.75957863,10.70145588,,,0,
37,236F,Sahline Sebkha,,35.7576841,10.71653661,,,0,
38,239J,Les Hotels Monastir,,35.7601219,10.74489186,,,0,
39,237G,AEROPORT SKANES MONASTIR,,35.76251566,10.75409804,,,0,
