trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
40579238,00:00:00,6:25:00,1,1,Jebel Jelloud,0,0,0
40579238,6:29:00,6:30:00,2,2,Jebel Jelloud,0,0,1861
40579238,6:35:00,6:37:00,3,3,Jebel Jelloud,0,0,3800
40579239,12:47:00,12:48:00,3,1,Tunis Ville,0,0,0
40579239,12:52:00,12:53:00,2,2,Tunis Ville,0,0,1939
40579239,12:57:00,00:00:00,1,3,Tunis Ville,0,0,3800
40579240,13:27:00,13:28:00,3,1,Tunis Ville,0,0,0
40579240,13:32:00,13:33:00,2,2,Tunis Ville,0,0,1939
40579240,13:37:00,00:00:00,1,3,Tunis Ville,0,0,3800
40579241,14:32:00,14:33:00,3,1,Tunis Ville,0,0,0
40579241,14:37:00,14:38:00,2,2,Tunis Ville,0,0,1939
40579241,14:42:00,00:00:00,1,3,Tunis Ville,0,0,3800
40578578,00:00:00,4:35:00,1,1,Erriadh,0,0,0
40578578,4:39:00,4:39:00,2,2,Erriadh,0,0,1861
40578578,4:43:00,4:44:00,3,3,Erriadh,0,0,3800
40578578,4:45:00,4:46:00,4,4,Erriadh,0,0,5000
40578578,4:47:00,4:48:00,5,5,Erriadh,0,0,6200
40578578,4:50:00,4:51:00,6,6,Erriadh,0,0,7000
40578578,4:54:00,4:55:00,7,7,Erriadh,0,0,9500
40578578,4:57:00,4:58:00,8,8,Erriadh,0,0,11000
40578578,5:00:00,5:01:00,9,9,Erriadh,0,0,13400
40578578,5:03:00,5:03:00,10,10,Erriadh,0,0,14800
40578578,5:04:00,5:05:00,11,11,Erriadh,0,0,15500
40578578,5:07:00,5:08:00,12,12,Erriadh,0,0,16800
40578578,5:09:00,5:10:00,13,13,Erriadh,0,0,18000
40578578,5:12:00,5:12:00,14,14,Erriadh,0,0,19800
40578578,5:14:00,5:15:00,15,15,Erriadh,0,0,20400
40578578,5:16:00,5:17:00,16,16,Erriadh,0,0,21350
40578578,5:20:00,5:21:00,17,17,Erriadh,0,0,23200
40578578,5:25:00,00:00:00,18,18,Erriadh,0,0,24900
40578579,00:00:00,4:30:00,18,1,Tunis Ville,0,0,0
40578579,4:34:00,4:35:00,17,2,Tunis Ville,0,0,1700
40578579,4:37:00,4:38:00,16,3,Tunis Ville,0,0,3550
40578579,4:39:00,4:40:00,15,4,Tunis Ville,0,0,4500
40578579,4:42:00,4:43:00,14,5,Tunis Ville,0,0,5100
40578579,4:44:00,4:45:00,13,6,Tunis Ville,0,0,6900
40578579,4:47:00,4:48:00,12,7,Tunis Ville,0,0,8100
40578579,4:50:00,4:51:00,11,8,Tunis Ville,0,0,9400
40578579,4:52:00,4:53:00,10,9,Tunis Ville,0,0,10100
40578579,4:54:00,4:55:00,9,10,Tunis Ville,0,0,11500
40578579,4:57:00,4:58:00,8,11,Tunis Ville,0,0,13900
40578579,5:00:00,5:01:00,7,12,Tunis Ville,0,0,15400
40578579,5:04:00,5:05:00,6,13,Tunis Ville,0,0,17900
40578579,5:07:00,5:08:00,5,14,Tunis Ville,0,0,18700
40578579,5:09:00,5:10:00,4,15,Tunis Ville,0,0,19900
40578579,5:11:00,5:12:00,3,16,Tunis Ville,0,0,21100
40578579,5:16:00,5:17:00,2,17,Tunis Ville,0,0,23039
40578579,5:21:00,00:00:00,1,18,Tunis Ville,0,0,24900
40578580,00:00:00,5:00:00,1,1,Erriadh,0,0,0
40578580,5:04:00,5:04:00,2,2,Erriadh,0,0,1861
40578580,5:08:00,5:09:00,3,3,Erriadh,0,0,3800
40578580,5:11:00,5:12:00,4,4,Erriadh,0,0,5000
40578580,5:13:00,5:14:00,5,5,Erriadh,0,0,6200
40578580,5:15:00,5:16:00,6,6,Erriadh,0,0,7000
40578580,5:19:00,5:20:00,7,7,Erriadh,0,0,9500
40578580,5:22:00,5:23:00,8,8,Erriadh,0,0,11000
40578580,5:25:00,5:26:00,9,9,Erriadh,0,0,13400
40578580,5:28:00,5:29:00,10,10,Erriadh,0,0,14800
40578580,5:30:00,5:31:00,11,11,Erriadh,0,0,15500
40578580,5:33:00,5:34:00,12,12,Erriadh,0,0,16800
40578580,5:35:00,5:36:00,13,13,Erriadh,0,0,18000
40578580,5:38:00,5:39:00,14,14,Erriadh,0,0,19800
40578580,5:41:00,5:42:00,15,15,Erriadh,0,0,20400
40578580,5:43:00,5:44:00,16,16,Erriadh,0,0,21350
40578580,5:46:00,5:47:00,17,17,Erriadh,0,0,23200
40578580,5:51:00,00:00:00,18,18,Erriadh,0,0,24900
40578581,00:00:00,4:50:00,18,1,Tunis Ville,0,0,0
40578581,4:54:00,4:55:00,17,2,Tunis Ville,0,0,1700
40578581,4:57:00,4:58:00,16,3,Tunis Ville,0,0,3550
40578581,4:59:00,5:00:00,15,4,Tunis Ville,0,0,4500
40578581,5:02:00,5:03:00,14,5,Tunis Ville,0,0,5100
40578581,5:04:00,5:05:00,13,6,Tunis Ville,0,0,6900
40578581,5:07:00,5:08:00,12,7,Tunis Ville,0,0,8100
40578581,5:10:00,5:11:00,11,8,Tunis Ville,0,0,9400
40578581,5:12:00,5:13:00,10,9,Tunis Ville,0,0,10100
40578581,5:14:00,5:15:00,9,10,Tunis Ville,0,0,11500
40578581,5:17:00,5:18:00,8,11,Tunis Ville,0,0,13900
40578581,5:20:00,5:21:00,7,12,Tunis Ville,0,0,15400
40578581,5:24:00,5:25:00,6,13,Tunis Ville,0,0,17900
40578581,5:27:00,5:28:00,5,14,Tunis Ville,0,0,18700
40578581,5:29:00,5:30:00,4,15,Tunis Ville,0,0,19900
