route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
1,429,40579238,Jebel Jelloud,C91,,,
1,432,40579239,Tunis Ville,C92,,,
1,430,40579240,Tunis Ville,C94,,,
1,433,40579241,Tunis Ville,C96,,,
2,429,40578578,Erriadh,101,,,14.0
2,427,40578579,Tunis Ville,102,,,1400.0
2,428,40578580,Erriadh,103,,,14.0
2,429,40578581,Tunis Ville,104,,,1400.0
2,429,40578582,Erriadh,105,,,14.0
2,428,40578583,Tunis Ville,106,,,1400.0
2,428,40578584,Erriadh,107,,,14.0
2,429,40578585,Tunis Ville,108,,,1400.0
2,429,40578586,Erriadh,109,,,14.0
2,427,40578587,Tunis Ville,110,,,1400.0
2,427,40578589,Erriadh,113,,,14.0
2,429,40578590,Tunis Ville,114,,,1400.0
2,429,40578591,Erriadh,115,,,14.0
2,428,40578592,Tunis Ville,116,,,1400.0
2,428,40578593,Erriadh,117,,,44.0
2,429,40578594,Tunis Ville,118,,,1400.0
2,429,40578595,Erriadh,119,,,14.0
2,429,40578596,Tunis Ville,120,,,1400.0
3,429,40578597,Hammam Lif,121,,,14.0
2,428,40578598,Tunis Ville,122,,,1400.0
2,428,40578599,Erriadh,123,,,
2,429,40578600,Tunis Ville,124,,,1400.0
2,429,40578601,Erriadh,125,,,
2,429,40578602,Tunis Ville,126,,,4400.0
2,427,40578603,Erriadh,127,,,14.0
2,428,40578604,Tunis Ville,128,,,1400.0
2,429,40578605,Tunis Ville,130,,,1400.0
2,429,40578606,Erriadh,131,,,14.0
3,429,40578607,Tunis Ville,132,,,1400.0
2,427,40578608,Erriadh,133,,,14.0
2,429,40578745,Erriadh,135,,,14.0
2,427,40578610,Tunis Ville,136,,,
2,427,40578611,Erriadh,137,,,14.0
2,429,40578612,Tunis Ville,138,,,1400.0
2,427,40578613,Erriadh,139,,,14.0
2,428,40578614,Tunis Ville,140,,,1400.0
2,429,40578615,Erriadh,141,,,
2,429,40578616,Tunis Ville,142,,,
2,427,40578617,Erriadh,143,,,
2,427,40578618,Erriadh,145,,,14.0
2,427,40578619,Tunis Ville,146,,,
2,427,40578620,Erriadh,147,,,
2,427,40578621,Tunis Ville,148,,,1400.0
2,427,40578622,Erriadh,149,,,14.0
2,429,40578757,Tunis Ville,150,,,
2,427,40578624,Erriadh,151,,,14.0
2,427,40578756,Tunis Ville,152,,,1400.0
2,429,40578746,Erriadh,153,,,
2,427,40578755,Tunis Ville,154,,,
2,428,40578747,Erriadh,155,,,14.0
2,427,40578754,Tunis Ville,156,,,1400.0
2,429,40578628,Erriadh,157,,,
2,427,40578753,Tunis Ville,158,,,
2,427,40578752,Tunis Ville,160,,,1400.0
2,427,40578750,Erriadh,163,,,14.0
2,427,40578632,Tunis Ville,164,,,1400.0
2,427,40578634,Tunis Ville,168,,,
2,427,40578637,Erriadh,171,,,14.0
2,427,40578638,Tunis Ville,172,,,1400.0
2,427,40578639,Erriadh,173,,,14.0
2,427,40578642,Tunis Ville,176,,,
2,427,40578643,Erriadh,177,,,14.0
2,429,40578644,Tunis Ville,178,,,
2,427,40578646,Erriadh,181,,,
2,427,40578649,Tunis Ville,184,,,1400.0
2,427,40578650,Erriadh,185,,,14.0
2,429,40578651,Tunis Ville,186,,,
2,427,40579040,Erriadh,189,,,14.0
2,427,40578653,Tunis Ville,190,,,1400.0
3,429,40579042,Hammam Lif,193,,,
2,427,40578657,Tunis Ville,194,,,1400.0
2,427,40578658,Erriadh,195,,,14.0
2,427,40579198,Tunis Ville,198,,,
2,427,40578659,Erriadh,199,,,
2,429,40579147,Erriadh,201,,,
2,427,40579159,Erriadh,205,,,
2,427,40579143,Tunis Ville,206,,,1400.0
3,429,40579048,Tunis Ville,208,,,
2,429,40579879,Erriadh,209,,,14.0
2,429,40579142,Tunis Ville,210,,,1400.0
2,430,40579178,Erriadh,211,,,
2,427,40578663,Tunis Ville,212,,,
2,429,40579878,Erriadh,213,,,
2,429,40579179,Erriadh,215,,,14.0
2,427,40579140,Tunis Ville,216,,,1400.0
2,427,40579120,Tunis Ville,220,,,
2,429,40579218,Tunis Ville,222,,,1400.0
2,427,40579168,Erriadh,225,,,14.0
2,427,40579200,Tunis Ville,228,,,
2,427,40579166,Erriadh,229,,,
2,427,40579080,Tunis Ville,230,,,
2,429,40579167,Erriadh,231,,,
2,427,40579165,Erriadh,233,,,
2,427,40579079,Tunis Ville,234,,,
2,427,40579078,Tunis Ville,236,,,
2,427,40579164,Erriadh,237,,,
2,427,40579054,Tunis Ville,240,,,1400.0
2,427,40579163,Erriadh,241,,,
2,427,40579053,Tunis Ville,242,,,
2,427,40579162,Erriadh,245,,,
2,427,40579138,Tunis Ville,246,,,
2,427,40579161,Erriadh,247,,,14.0
2,427,40579160,Erriadh,249,,,14.0
2,427,40579050,Tunis Ville,250,,,
2,427,40578688,Erriadh,251,,,14.0
4,427,40579318,Borj Cedria,802,,,20.0
4,427,40579302,Nabeul Voyageurs,805,,,2000.0
4,427,40579303,Borj Cedria,812,,,20.0
4,427,40579304,Nabeul Voyageurs,815,,,2000.0
4,427,40579305,Borj Cedria,816,,,20.0
4,427,40579306,Nabeul Voyageurs,819,,,2000.0
4,427,40579307,Borj Cedria,820,,,
4,427,40579308,Nabeul Voyageurs,821,,,
5,427,40579475,SOUSSE BAB JEDID,b502,,,800.0
6,427,40579418,Monastir,B503,,,21.0
5,427,40579419,SOUSSE BAB JEDID,b504,,,800.0
7,427,40579420,Mahdia,B505,,,53.0
6,427,40579421,SOUSSE BAB JEDID,b506,,,2100.0
7,427,40579422,Mahdia,b507,,,53.0
7,427,40579423,SOUSSE BAB JEDID,b508,,,5300.0
7,427,40579424,Mahdia,b509,,,53.0
7,427,40579425,SOUSSE BAB JEDID,b510,,,5300.0
7,427,40579426,Mahdia,b511,,,53.0
7,427,40579428,SOUSSE BAB JEDID,b514,,,5300.0
5,427,40579433,Sousse Sud,b515,,,8.0
7,427,40579434,SOUSSE BAB JEDID,b516,,,5300.0
7,427,40579435,Mahdia,b517,,,53.0
7,427,40579436,SOUSSE BAB JEDID,b518,,,5300.0
7,427,40579499,Mahdia,b519,,,35.0
7,427,40579500,Mahdia,b521,,,53.0
7,427,40579440,SOUSSE BAB JEDID,b522,,,5300.0
6,427,40579501,Monastir,B523,,,
7,427,40579442,SOUSSE BAB JEDID,b524,,,5300.0
8,427,40579443,Bekalta,b525,,,53.0
5,427,40579444,SOUSSE BAB JEDID,b526,,,800.0
8,427,40579445,Bekalta,b527,,,35.0
7,427,40579446,SOUSSE BAB JEDID,b528,,,5300.0
7,427,40579447,Mahdia,b529,,,53.0
6,427,40579448,SOUSSE BAB JEDID,b530,,,3500.0
7,427,40579449,Mahdia,b531,,,53.0
7,427,40579450,SOUSSE BAB JEDID,b532,,,5300.0
9,427,40579451,Moknine,B533,,,34.0
7,427,40579452,SOUSSE BAB JEDID,b534,,,5300.0
7,427,40579453,Mahdia,b535,,,53.0
8,427,40579454,SOUSSE BAB JEDID,b536,,,5300.0
7,427,40579455,Mahdia,b537,,,21.0
10,427,40579456,Bekalta,b538,,,3500.0
7,427,40579457,Mahdia,b539,,,53.0
7,427,40579458,SOUSSE BAB JEDID,B540,,,5300.0
9,427,40579459,Moknine,b541,,,53.0
9,427,40579460,SOUSSE BAB JEDID,B542,,,3400.0
7,427,40579461,Mahdia,b543,,,
7,427,40579462,SOUSSE BAB JEDID,b544,,,5300.0
7,427,40579463,Mahdia,b545,,,
7,427,40579464,SOUSSE BAB JEDID,b546,,,2100.0
7,427,40579465,Mahdia,b547,,,
7,427,40579466,SOUSSE BAB JEDID,b548,,,5300.0
7,427,40579467,Mahdia,b549,,,
7,427,40579470,SOUSSE BAB JEDID,b552,,,
5,427,40579471,Sousse Sud,b553,,,8.0
7,427,40579472,SOUSSE BAB JEDID,b554,,,
5,427,40579473,Sousse Sud,b555,,,8.0
7,427,40579474,SOUSSE BAB JEDID,b556,,,
11,430,40579299,Bizerte,TA01019,,,7.0
11,429,40579300,Bizerte,TA01025,,,
12,427,40579274,Ghardimaou,00TA007,,,16.0
12,427,40579275,Tunis Ville,00TA008,,,1600.0
12,427,40579276,Ghardimaou,00TA009,,,52.0
12,427,40579278,Tunis Ville,00TA012,,,1600.0
12,427,40579279,Ghardimaou,00TA013,,,16.0
12,427,40579280,Tunis Ville,00TA014,,,5200.0
12,427,40579281,Ghardimaou,00TA017,,,51.0
12,427,40579282,Tunis Ville,00TA020,,,
13,429,40579518,Bir Aniba,00TA401,,,
13,429,40579523,Tunis Ville,00TA402,,,
13,427,40579524,Bir Aniba,00TA403,,,
13,427,40579825,Tunis Ville,00TA404,,,
13,429,40579529,Bir Aniba,00TA405,,,
13,429,40579826,Tunis Ville,00TA406,,,
13,428,40579534,Bir Aniba,00TA407,,,
13,428,40579827,Tunis Ville,00TA408,,,
13,429,40579539,Bir Aniba,00TA409,,,
13,429,40579828,Tunis Ville,00TA410,,,
13,427,40579544,Bir Aniba,00TA411,,,
13,427,40579829,Tunis Ville,00TA412,,,
13,429,40579549,Bir Aniba,00TA413,,,
13,429,40579830,Tunis Ville,00TA414,,,
13,428,40579554,Bir Aniba,00TA415,,,
13,428,40579831,Tunis Ville,00TA416,,,
13,429,40579559,Bir Aniba,00TA417,,,
13,429,40579832,Tunis Ville,00TA418,,,
13,427,40579564,Bir Aniba,00TA419,,,
13,427,40579833,Tunis Ville,00TA420,,,
13,429,40579569,Bir Aniba,00TA421,,,
13,429,40579834,Tunis Ville,00TA422,,,
13,428,40579574,Bir Aniba,00TA423,,,
13,428,40579835,Tunis Ville,00TA424,,,
13,429,40579579,Bir Aniba,00TA425,,,
13,429,40579836,Tunis Ville,00TA426,,,
13,427,40579584,Bir Aniba,00TA427,,,
13,427,40579837,Tunis Ville,00TA428,,,
13,429,40579589,Bir Aniba,00TA429,,,
13,429,40579838,Tunis Ville,00TA430,,,
13,428,40579594,Bir Aniba,00TA431,,,
13,428,40579839,Tunis Ville,00TA432,,,
13,429,40579599,Bir Aniba,00TA433,,,
