route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
19,428,18899,Erriadh,101,0,,14
19,428,18900,Tunis Ville,102,1,,1400
19,428,18901,Erriadh,103,0,,14
19,428,18902,Tunis Ville,104,1,,1400
19,428,18903,Erriadh,105,0,,14
19,428,18904,Tunis Ville,106,1,,1400
19,427,18905,Erriadh,107,0,,14
19,427,18906,Tunis Ville,108,1,,1400
19,428,18907,Erriadh,109,0,,14
19,427,18908,Tunis Ville,110,1,,1400
19,428,18909,Erriadh,111,0,,14
19,428,18910,Tunis Ville,112,1,,1400
19,428,18911,Erriadh,113,0,,14
19,428,18912,Tunis Ville,114,1,,1400
19,428,18913,Erriadh,115,0,,14
19,428,18914,Tunis Ville,116,1,,1400
25,428,18915,Hammam Lif,117,0,,44
19,428,18916,Tunis Ville,118,1,,1400
19,428,18917,Erriadh,119,0,,14
19,428,18918,Tunis Ville,120,1,,1400
19,427,18919,Erriadh,121,0,,14
19,428,18920,Tunis Ville,122,1,,1400
19,428,18921,Tunis Ville,124,1,,1400
25,428,18922,Tunis Ville,126,1,,4400
19,427,18923,Erriadh,127,0,,14
19,427,18924,Tunis Ville,128,1,,1400
19,428,18925,Tunis Ville,130,1,,1400
19,428,18926,Erriadh,131,0,,14
19,428,18927,Tunis Ville,132,1,,1400
19,427,18928,Erriadh,133,0,,14
19,428,18929,Tunis Ville,134,1,,1400
19,427,18930,Erriadh,135,0,,14
19,428,18931,Erriadh,137,0,,14
19,427,18932,Tunis Ville,138,1,,1400
19,427,18933,Erriadh,139,0,,14
19,427,18934,Tunis Ville,140,1,,1400
19,427,18935,Tunis Ville,144,1,,1400
19,427,18936,Erriadh,145,0,,14
19,427,18937,Tunis Ville,148,1,,1400
19,427,18938,Erriadh,149,0,,14
19,427,18939,Erriadh,151,0,,14
19,427,18940,Tunis Ville,152,1,,1400
19,427,18941,Erriadh,155,0,,14
19,427,18942,Tunis Ville,156,1,,1400
19,427,18943,Erriadh,159,0,,14
19,427,18944,Tunis Ville,160,1,,1400
19,428,18945,Erriadh,163,0,,14
19,427,18946,Tunis Ville,164,1,,1400
19,427,18947,Erriadh,165,0,,14
19,427,18948,Erriadh,169,0,,14
19,428,18949,Tunis Ville,170,1,,1400
19,428,18950,Erriadh,171,0,,14
19,427,18951,Tunis Ville,172,1,,1400
19,427,18952,Erriadh,173,0,,14
19,427,18953,Erriadh,177,0,,14
19,427,18954,Tunis Ville,180,1,,1400
19,428,18955,Tunis Ville,182,1,,1400
19,427,18956,Tunis Ville,184,1,,1400
19,428,18957,Erriadh,185,0,,14
19,428,18958,Tunis Ville,188,1,,1400
19,427,18959,Erriadh,189,0,,14
19,427,18960,Tunis Ville,190,1,,1400
19,428,18961,Erriadh,191,0,,14
19,428,18962,Tunis Ville,192,1,,1400
19,427,18963,Tunis Ville,194,1,,1400
19,427,18964,Erriadh,195,0,,14
19,428,18965,Erriadh,197,0,,14
19,427,18966,Tunis Ville,202,1,,1400
19,427,18967,Tunis Ville,206,1,,1400
19,427,18968,Erriadh,209,0,,14
19,427,18969,Tunis Ville,210,1,,1400
19,427,18970,Erriadh,215,0,,14
19,427,18971,Tunis Ville,216,1,,1400
19,427,18972,Tunis Ville,218,1,,1400
19,427,18973,Erriadh,219,0,,14
19,427,18974,Erriadh,221,0,,14
19,427,18975,Tunis Ville,222,1,,1400
19,427,18976,Erriadh,225,0,,14
19,427,18977,Tunis Ville,240,1,,1400
19,427,18978,Tunis Ville,244,1,,1400
19,427,18979,Erriadh,247,0,,14
19,427,18980,Tunis Ville,248,1,,1400
19,427,18981,Erriadh,249,0,,14
19,427,18982,Erriadh,251,0,,14
19,427,18983,Tunis Ville,252,1,,1400
19,427,18984,Erriadh,253,0,,14
19,427,18985,Erriadh,255,0,,14
19,427,18986,Tunis Ville,256,1,,1400
19,427,18987,Erriadh,257,0,,14
19,427,18988,Tunis Ville,258,1,,1400
19,427,18989,Tunis Ville,260,1,,1400
19,427,18990,Erriadh,261,0,,14
19,427,18991,Erriadh,263,0,,14
46,427,18992,Borj Cedria,802,0,,20
46,427,18993,Nabeul Voyageurs,805,1,,2000
46,427,18994,Borj Cedria,812,0,,20
46,427,18995,Nabeul Voyageurs,815,1,,2000
46,427,18996,Borj Cedria,816,0,,20
46,427,18997,Nabeul Voyageurs,819,1,,2000
38,427,18999,Sousse Bab Jdid,b502,1,,800
3,427,19000,Monastir,B503,0,,21
38,427,19001,Sousse Bab Jdid,b504,1,,800
1,427,19002,Mahdia,B505,0,,53
3,427,19003,Sousse Bab Jdid,b506,1,,2100
1,427,19004,Mahdia,b507,0,,53
1,427,19005,Sousse Bab Jdid,b508,1,,5300
1,427,19006,Mahdia,b509,0,,53
1,427,19007,Sousse Bab Jdid,b510,1,,5300
1,427,19008,Mahdia,b511,0,,53
3,427,19009,Monastir,b513,0,,21
1,427,19010,Sousse Bab Jdid,b514,1,,5300
38,427,19011,Sousse Sud,b515,0,,8
1,427,19012,Sousse Bab Jdid,b516,1,,5300
1,427,19013,Mahdia,b517,0,,53
1,427,19014,Sousse Bab Jdid,b518,1,,5300
51,427,19015,Bekalta,b519,0,,35
3,427,19016,Sousse Bab Jdid,b520,1,,2100
1,427,19017,Mahdia,b521,0,,53
1,427,19018,Sousse Bab Jdid,b522,1,,5300
1,427,19019,Mahdia,b523,0,,53
1,427,19020,Sousse Bab Jdid,b524,1,,5300
1,427,19021,Mahdia,b525,0,,53
38,427,19022,Sousse Bab Jdid,b526,1,,800
51,427,19023,Bekalta,b527,0,,35
1,427,19024,Sousse Bab Jdid,b528,1,,5300
1,427,19025,Mahdia,b529,0,,53
51,427,19026,Sousse Bab Jdid,b530,1,,3500
1,427,19027,Mahdia,b531,0,,53
1,427,19028,Sousse Bab Jdid,b532,1,,5300
36,427,19029,Moknine Voyageurs,B533,0,,34
1,427,19030,Sousse Bab Jdid,b534,1,,5300
1,427,19031,Mahdia,b535,0,,53
1,427,19032,Sousse Bab Jdid,b536,1,,5300
3,427,19033,Monastir,b537,0,,21
51,427,19034,Sousse Bab Jdid,b538,1,,3500
1,427,19035,Mahdia,b539,0,,53
1,427,19036,Sousse Bab Jdid,B540,1,,5300
1,427,19037,Mahdia,b541,0,,53
36,427,19038,Sousse Bab Jdid,B542,1,,3400
1,427,19039,Sousse Bab Jdid,b544,1,,5300
3,427,19040,Sousse Bab Jdid,b546,1,,2100
1,427,19041,Sousse Bab Jdid,b548,1,,5300
38,427,19042,Sousse Sud,b551,0,,8
38,427,19043,Sousse Sud,b553,0,,8
38,427,19044,Sousse Sud,b555,0,,8
4,427,19045,Bizerte,TA01019,0,,7
12,427,19046,Tunis Ville,00TA006,1,,5100
14,427,19047,Ghardimaou,00TA007,0,,16
14,427,19048,Tunis Ville,00TA008,1,,1600
9,427,19049,Jendouba V,00TA009,0,,52
14,427,19050,Tunis Ville,00TA012,1,,1600
14,427,19051,Ghardimaou,00TA013,0,,16
9,427,19052,Tunis Ville,00TA014,1,,5200
12,427,19053,Beja Voy,00TA017,0,,51
21,427,19158,Gabes,0005053,0,,30
18,427,19159,Tunis Ville,0005058,1,,500
21,427,19160,Tunis Ville,0005062,1,,3000
21,427,19161,Gabes,0005073,0,,30
21,427,19162,Tunis Ville,0005076,1,,3000
18,427,19163,Sfax,0005077,0,,5
21,427,19164,Tunis Ville,0005090,1,,3000
21,427,19165,Gabes,0005097,0,,30
5,428,19166,Tunis Ville,0006050,1,,4800
20,427,19167,Kalaa Khasba,0006051,0,,29
5,427,19168,Dahmani,0006057,0,,48
5,427,19169,Tunis Ville,0006060,1,,4800
5,427,19170,Dahmani,0006065,0,,48
5,427,19171,Tunis Ville,0006068,1,,4800
5,428,19172,Dahmani,0006073,0,,48
20,427,19173,Tunis Ville,0006076,1,,2900
30,427,19174,Cheria,0013761,0,,39
30,427,19175,Cheria,0013763,0,,39
30,427,19176,Cheria,0013767,0,,39
30,427,19177,Cheria,0013769,0,,39
29,427,19178,Aguila,0013771,0,,25
30,427,19179,Cheria,0013773,0,,39
30,427,19180,Cheria,0013775,0,,39
29,427,19181,Aguila,0013777,0,,25
30,427,19182,Cheria,0013779,0,,39
28,427,19183,M'Dhilla,0014765,0,,27
28,427,19184,M'Dhilla,0014771,0,,27
28,427,19185,M'Dhilla,0014777,0,,27
39,427,19186,Om El Arais,0015067,0,,11
42,427,19187,Metlaoui,0015088,0,,41
11,427,19188,Metlaoui,0015098,1,,2600
11,427,19189,Selja,0015099,0,,26
43,427,19190,Tabeddit,0016086,0,,12
4,428,19191,Tunis Ville,01TA004,1,,700
4,428,19192,Tunis Ville,01TA010,1,,700
17,427,19193,Nabeul Voyageurs,0510061,0,,46
23,427,19194,Sousse Voyageurs,0512079,0,,2
24,427,19195,Tozeur,0513067,0,,50
16,427,19196,Mahdia,0522071,0,,28
8,427,19197,Le Kef,0608069,0,,4
8,427,19198,Tunis Ville,0806054,1,,400
17,427,19199,Tunis Ville,1005056,1,,4600
